CFM ID,Fault Name,Region,Primary State/Province,Secondary State/Country,Dip (degrees),Dip Direction,Rake* (degrees),Slip sense,Fault level,NSHM sliprates (MedWgtd),QfaultsAgeCat,QfaultsAgeCat,LowDepth (km),UpDepth (km),Reference**,3D Model Constraints,NSHM ID #,Lineage***,Comments
33,East Grand Ronde Valley,Backarc_OR,OR,,50,W,-90,Normal,1,0.3416,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2560,unmodified,
34,East Pueblo Valley,Backarc_OR,OR,,50,W,-90,Normal,1,0.10239,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2562,unmodified,
35,Eaton Roughs,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,90,vertical,180,Dextral,1,2.19786,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,74,unmodified,
36,Entiat,Backarc_WA,WA,,60,SW,90,Reverse,1,0.085164,null,null,15,0,US NSHM 2023,trace extended at constant dip,2832,unmodified,
37,Fickle Hill,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,0.618176,latest Quaternary,"<15,000",13,0,US NSHM 2023,trace extended at constant dip,80,unmodified,
38,Fitzhugh Creek,Backarc_CA,CA,,50,W,-90,Normal,1,0.04452,undifferentiated Quaternary,<1.6 million,8.5,0,US NSHM 2023,trace extended at constant dip,82,unmodified,
39,Frigid Creek,ForearcIntraarc_WA,WA,,50,SE,-90,Normal,1,0.114892,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2833,unmodified,
40,Gales Creek (Chehalem Valley),ForearcIntraarc_OR,OR,,90,vertical,180,Dextral,1,0.41016,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2563,unmodified,
41,Gales Creek (Parsons Creek),ForearcIntraarc_OR,OR,,90,vertical,180,Dextral,1,0.059108,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2514,unmodified,
42,Garberville - Briceland,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,90,vertical,180,Dextral,1,2.43832,undifferentiated Quaternary,<1.6 million,24.8,0,US NSHM 2023,trace extended at constant dip,85,unmodified,
43,Gillem - Big Crack,ForearcIntraarc_CA,CA,,60,E,-90,Normal,1,0.344989,late Quaternary,"<130,000",9.7,0,US NSHM 2023,trace extended at constant dip,87,unmodified,
44,Goose Lake,Backarc_OR,OR,CA,58,W,-90,Normal,1,0.580608,late Quaternary,"<130,000",8.5,0,US NSHM 2023,trace extended at constant dip,2500,unmodified,
45,Grogan,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,90,vertical,180,Dextral,1,0.70192,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,319,unmodified,
46,Happy Camp,ForearcIntraarc_OR,OR,,60,N,90,Reverse,1,0.077147,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2516,unmodified,
47,Harney,Backarc_OR,OR,,50,W,-90,Normal,1,0.113465,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2564,unmodified,
48,Hat Creek,ForearcIntraarc_CA,CA,,60,W,-90,Normal,1,1.923439,latest Quaternary,"<15,000",9.6,0,US NSHM 2023,trace extended at constant dip,112,unmodified,
49,Honey Lake,Backarc_CA,CA,NV,90,vertical,180,Dextral,1,1.52865,latest Quaternary,"<15,000",9.7,0,US NSHM 2023,trace extended at constant dip,120,unmodified,
50,Hoppins Peak,Backarc_OR,NV,OR,50,SE,-90,Normal,1,0.142078,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,1060,unmodified,
51,Horse Heaven Hills,Backarc_WA,WA,,60,S,90,Reverse,1,0.075968,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2803,unmodified,
52,Horse Heaven Hills - Wallula,Backarc_WA,WA,,60,SW,90,Reverse,1,0.053088,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2834,unmodified,
53,Inks Creek - Hooker Dome,ForearcIntraarc_CA,CA,,60,N,90,Reverse,1,0.278547,null,null,15,0,US NSHM 2023,trace extended at constant dip,321,unmodified,
54,Jess Valley,Backarc_CA,CA,,50,E,-90,Normal,1,0.042952,undifferentiated Quaternary,<1.6 million,12,0,US NSHM 2023,trace extended at constant dip,128,unmodified,
55,Juniper Mountain,Backarc_OR,OR,,50,N,-90,Normal,1,0.034492,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2518,unmodified,
56,Keddie Ridge,ForearcIntraarc_CA,CA,,90,vertical,-135,Normal and Dextral,1,0.076648,undifferentiated Quaternary,<1.6 million,10,0,US NSHM 2023,trace extended at constant dip,131,unmodified,
57,Kittitas Valley,Backarc_WA,WA,,60,N,90,Reverse,1,0.113219,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2835,unmodified,
58,Klamath Graben (east),ForearcIntraarc_OR,OR,,50,SW,-90,Normal,1,0.467329,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2519,unmodified,
59,Klamath Graben (Klamath Lake),ForearcIntraarc_OR,OR,,60,NE,-90,Normal,1,0.303096,latest Quaternary,"<15,000",11,0,US NSHM 2023,trace extended at constant dip,2502,unmodified,
60,"Klamath Graben (west, center)",ForearcIntraarc_OR,OR,,50,E,-90,Normal,1,0.320918,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2565,unmodified,
61,"Klamath Graben (west, north)",ForearcIntraarc_OR,OR,,50,E,-90,Normal,1,0.268502,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2566,unmodified,
62,"Klamath Graben (west, south)",ForearcIntraarc_OR,OR,,50,E,-90,Normal,1,0.30244,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2520,unmodified,
63,La Pine Graben,ForearcIntraarc_OR,OR,,50,NW,-90,Normal,1,0.226481,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2567,unmodified,
64,Lake Creek - Boundary Creek - Sadie,ForearcIntraarc_WA,WA,,60,N,90,Reverse,1,0.523014,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2804,unmodified,
65,Lava Butte,ForearcIntraarc_OR,OR,,50,SW,-90,Normal,1,0.067232,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2568,unmodified,
66,Leech River,ForearcIntraarc_BC,BC,,89,S,29.2,Reverse and Sinistral,1,null,null,null,15,0,"Morell et al. (2017); Harrichhausen, et al. (2021)",trace extended at constant dip,null,null,
67,Likely,Backarc_CA,CA,,90,likely,180,Dextral,1,0.508046,late Quaternary,"<130,000",9.4,0,US NSHM 2023,trace extended at constant dip,143,unmodified,
68,Little Salmon (offshore),AccretionaryWedge_CA_MendocinoTripleJunction,CA,,30,NE,90,Reverse,1,2.218752,null,null,13,0,US NSHM 2023,trace extended at constant dip,146,unmodified,
69,Little Salmon (onshore),AccretionaryWedge_CA_MendocinoTripleJunction,CA,,30,NE,90,Reverse,1,3.102946,latest Quaternary,"<15,000",13,0,US NSHM 2023,trace extended at constant dip,147,unmodified,
70,Lost Man,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,0.654176,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,324,unmodified,
71,Mad River,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,0.437424,latest Quaternary,"<15,000",13,0,US NSHM 2023,trace extended at constant dip,157,unmodified,
72,Manastash Ridge,Backarc_WA,WA,,24,S,90,Reverse,1,0.206787,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2836,unmodified,
73,Mayfield,ForearcIntraarc_CA,CA,,60,W,-90,Normal,1,0.327933,latest Quaternary,"<15,000",9.6,0,US NSHM 2023,trace extended at constant dip,325,unmodified,
74,McArthur,ForearcIntraarc_CA,CA,,60,W,-90,Normal,1,0.474324,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,326,unmodified,
75,McKinleyville,AccretionaryWedge_CA_MendocinoTripleJunction,CA,,35,NE,90,Reverse,1,0.558288,latest Quaternary,"<15,000",13,0,US NSHM 2023,trace extended at constant dip,163,unmodified,
76,Metolius,ForearcIntraarc_OR,OR,,50,SW,-90,Normal,1,0.129502,middle and late Quaternary,"<750,000",15,0,US NSHM 2023,trace extended at constant dip,2522,unmodified,
77,Mount Angel,ForearcIntraarc_OR,OR,,60,NE,90,Reverse,1,0.05584,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2523,unmodified,
78,Olympia,ForearcIntraarc_WA,WA,,60,S,90,Reverse,1,0.116883,undifferentiated Quaternary,<1.6 million,15,0,US NSHM 2023,trace extended at constant dip,2837,unmodified,
79,Paulina Marsh,Backarc_OR,OR,,50,NE,-90,Normal,1,0.348179,latest Quaternary,"<15,000",15,0,US NSHM 2023,trace extended at constant dip,2526,unmodified,
80,Pioneer,ForearcIntraarc_OR,OR,,60,NE,90,Reverse,1,0.588368,late Quaternary,"<130,000",15,0,US NSHM 2023,trace extended at constant dip,2569,unmodified,
81,Pittville,ForearcIntraarc_CA,CA,,60,SW,-90,Normal,1,0.543834,latest Quaternary,"<15,000",8.9,0,US NSHM 2023,trace extended at constant dip,214,unmodified,
